cf_id,title,category,affected_system,layer,failure_mode,trigger,observed_symptom,root_cause,detection,impact,mitigation,reference,issue,status,tier,taxonomy
CF-0023,Messages silently dropped under iLink rate limiting,Silent message loss,Hermes Agent,L2,iLink Rate Limit Silent Drop,Rate limiter drops messages without backpressure signal,Messages silently dropped under iLink rate limiting,Rate limiter drops messages without backpressure signal,CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/31131,Confirmed,B,communication
CF-0024,WeChat replies >10 segments silently truncated,Silent message loss,Hermes Agent,L2,WeChat Segment Truncation,Platform message segment limit truncates content without warning,WeChat replies >10 segments silently truncated,Platform message segment limit truncates content without warning,CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/46529,Confirmed,B,communication
CF-0025,Planned-restart fires during cron delivery — message silently dropped,Process lifecycle,Hermes Agent,L5,Scheduler Restart Races Cron Delivery,Scheduler restart races with in-flight cron message delivery,Planned-restart fires during cron delivery — message silently dropped,Scheduler restart races with in-flight cron message delivery,CADVP CC-8 state file integrity check,False belief of successful operation; operator unaware of failure,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/58818,Confirmed,B,execution
CF-0026,WhatsApp bridge_port from config.yaml silently ignored,Config override,Hermes Agent,L3,WhatsApp Config Port Ignored,WhatsApp adapter ignores config.yaml port setting,WhatsApp bridge_port from config.yaml silently ignored,WhatsApp adapter ignores config.yaml port setting,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/5965,Confirmed,B,configuration
CF-0027,"WEBHOOK_* env config silently ignored, reports disabled",Config override,Hermes Agent,L4,Webhook Env Config Ignored,Webhook environment config parsed but not applied,"WEBHOOK_* env config silently ignored, reports disabled",Webhook environment config parsed but not applied,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/13240,Confirmed,B,configuration
CF-0028,on_session_finalize not fired on idle-timeout expiry,Hook not firing,Hermes Agent,L2,Session Finalize Hook Not Fired,Session lifecycle hook not triggered on timeout-based session end,on_session_finalize not fired on idle-timeout expiry,Session lifecycle hook not triggered on timeout-based session end,CADVP CC-3 hook execution counter,Security/quality guard silently disabled; policy gap undetected,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/14981,Confirmed,B,communication
CF-0029,"QQBot WebSocket hangs on stale CLOSE-WAIT, gateway frozen",Connection illusion,Hermes Agent,L2,QQBot CLOSE-WAIT Hang,WebSocket connection stuck in CLOSE-WAIT without detection or recovery,"QQBot WebSocket hangs on stale CLOSE-WAIT, gateway frozen",WebSocket connection stuck in CLOSE-WAIT without detection or recovery,CADVP CC-5 subscription heartbeat,False operational status; messages silently undelivered,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/18221,Confirmed,B,communication
CF-0030,Plugin platforms ignore PREFIX_HOME_CHANNEL env var,Config override,Hermes Agent,L4,Plugin Platform Env Ignored,Plugin platform detection bypasses PREFIX_HOME_CHANNEL environment variable,Plugin platforms ignore PREFIX_HOME_CHANNEL env var,Plugin platform detection bypasses PREFIX_HOME_CHANNEL environment variable,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/19440,Confirmed,B,configuration
CF-0031,Weixin rate limit causes message loss — no backoff + reconnect,Silent message loss,Hermes Agent,L2,Weixin Rate Limit Message Loss,Rate limit response triggers message loss without retry/backoff,Weixin rate limit causes message loss — no backoff + reconnect,Rate limit response triggers message loss without retry/backoff,CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/21126,Confirmed,B,communication
CF-0032,pre_tool_call and on_session_finalize don't fire in kanban-worker,Hook not firing,Hermes Agent,L2,Kanban Worker Hook Not Firing,Hook execution context missing in kanban worker process,pre_tool_call and on_session_finalize don't fire in kanban-worker,Hook execution context missing in kanban worker process,CADVP CC-3 hook execution counter,Security/quality guard silently disabled; policy gap undetected,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/25204,Confirmed,B,communication
CF-0033,discord tools silently hidden when DISCORD_BOT_TOKEN only in .env,Tool surface illusion,Hermes Agent,L4,Discord Tools Hidden (token in .env),Tool visibility gated on token source location (.env vs config.yaml),discord tools silently hidden when DISCORD_BOT_TOKEN only in .env,Tool visibility gated on token source location (.env vs config.yaml),CADVP CC-7 tool availability probe,Task proceeds with false success; tool result fabricated,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/30565,Confirmed,B,execution
CF-0034,"hermes config set doesn't write to .env, Discord auth silently fails",Config override,Hermes Agent,L3,CLI Config Target Mismatch,"CLI config command writes to wrong target file, auth silently broken","hermes config set doesn't write to .env, Discord auth silently fails","CLI config command writes to wrong target file, auth silently broken",CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/35231,Confirmed,B,configuration
CF-0035,Gateway status doesn't expose platform health — stale adapters appear healthy,Connection illusion,Hermes Agent,L3,Gateway Health Status Illusion,Gateway health endpoint reports adapter status without liveness check,Gateway status doesn't expose platform health — stale adapters appear healthy,Gateway health endpoint reports adapter status without liveness check,CADVP CC-5 subscription heartbeat,False operational status; messages silently undelivered,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/40199,Confirmed,B,communication
CF-0036,Slack Socket Mode aiohttp leaks closed sessions — unhealthy reconnect,Connection illusion,Hermes Agent,L2,Slack Session Leak on Reconnect,"Session pool leaks stale connections, reconnect uses dead session",Slack Socket Mode aiohttp leaks closed sessions — unhealthy reconnect,"Session pool leaks stale connections, reconnect uses dead session",CADVP CC-5 subscription heartbeat,False operational status; messages silently undelivered,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/46990,Confirmed,B,communication
CF-0037,transform_llm_output hook not firing on non-default profiles,Hook not firing,Hermes Agent,L3,Profile-Scoped Hook Not Firing,"Hook registration scoped to default profile, silently absent on others",transform_llm_output hook not firing on non-default profiles,"Hook registration scoped to default profile, silently absent on others",CADVP CC-3 hook execution counter,Security/quality guard silently disabled; policy gap undetected,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/50937,Confirmed,B,communication
CF-0038,Secondary profile token leaks from default (os.getenv bypass),Credential scope bypass,Hermes Agent,L3,Profile Token Leak from Default,Secondary profile inherits default profile token via os.getenv,Secondary profile token leaks from default (os.getenv bypass),Secondary profile inherits default profile token via os.getenv,CADVP CC-6 credential scope boundary check,Cross-tenant data leakage; wrong-scope operations,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/51029,Confirmed,B,configuration
CF-0039,Secondary profiles connect with default profile's token,Credential scope bypass,Hermes Agent,L3,Default Token Used Across Profiles,Profile credential isolation broken: default token used for all profiles,Secondary profiles connect with default profile's token,Profile credential isolation broken: default token used for all profiles,CADVP CC-6 credential scope boundary check,Cross-tenant data leakage; wrong-scope operations,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/52446,Confirmed,B,configuration
CF-0040,WeCom stale req_id causes 846605 on reconnect — no fallback,Connection illusion,Hermes Agent,L2,WeCom Stale req_id Reconnect Fail,Stale request ID reused on reconnect triggers platform rejection,WeCom stale req_id causes 846605 on reconnect — no fallback,Stale request ID reused on reconnect triggers platform rejection,CADVP CC-5 subscription heartbeat,False operational status; messages silently undelivered,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/52820,Confirmed,B,communication
CF-0041,Bot tokens via os.getenv bypass per-profile secret scope,Credential scope bypass,Hermes Agent,L3,Global Token Bypasses Profile Scope,Global os.getenv token access violates per-profile credential isolation,Bot tokens via os.getenv bypass per-profile secret scope,Global os.getenv token access violates per-profile credential isolation,CADVP CC-6 credential scope boundary check,Cross-tenant data leakage; wrong-scope operations,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/54675,Confirmed,B,configuration
CF-0042,Groq STT ignores provider-specific model in config.yaml,Config override,Hermes Agent,L4,STT Provider Config Ignored,"STT provider config block ignored, default model always used",Groq STT ignores provider-specific model in config.yaml,"STT provider config block ignored, default model always used",CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/58734,Confirmed,B,configuration
CF-0043,HERMES_IGNORE_RULES env var silently ignored by gateway,Config override,Hermes Agent,L4,Gateway Ignore Rules Env Ignored,Gateway rule engine ignores HERMES_IGNORE_RULES environment variable,HERMES_IGNORE_RULES env var silently ignored by gateway,Gateway rule engine ignores HERMES_IGNORE_RULES environment variable,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/29911,Confirmed,B,configuration
CF-0044,send_message omits MEDIA attachments for email targets,Silent message loss,Hermes Agent,L2,Email MEDIA Attachment Dropped,Media attachment stripped in email transport path,send_message omits MEDIA attachments for email targets,Media attachment stripped in email transport path,CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/38708,Confirmed,B,communication
CF-0045,_write_status_dot causes silent message loss when agent_status is directory,Silent message loss,Hermes Agent,L5,Status Dot File Conflict (Directory),"Status file write clashes with existing directory path, silently fails",_write_status_dot causes silent message loss when agent_status is directory,"Status file write clashes with existing directory path, silently fails",CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/50106,Confirmed,C,communication
CF-0046,MEMORY.md exceeding limit silently breaks memory tool,Memory blindness,Hermes Agent,L1,MEMORY.md Size Limit Break,File size limit on MEMORY.md causes silent memory tool degradation,MEMORY.md exceeding limit silently breaks memory tool,File size limit on MEMORY.md causes silent memory tool degradation,CADVP CC-1 memory availability check,False belief of successful knowledge transfer; context unawareness,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/53039,Confirmed,C,memory
CF-0047,Honcho provider activates even when dependency is missing,Tool surface illusion,Hermes Agent,L1,Honcho Provider Dependency Missing,Memory provider activates without verifying dependent package is installed,Honcho provider activates even when dependency is missing,Memory provider activates without verifying dependent package is installed,CADVP CC-7 tool availability probe,Task proceeds with false success; tool result fabricated,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/51099,Confirmed,C,execution
CF-0048,api_server falsely enabled for secondary profiles (os.environ leak),Env contamination,Hermes Agent,L3,API Server Env Leak to Secondary Profile,Environment variable leak enables api_server on unintended profiles,api_server falsely enabled for secondary profiles (os.environ leak),Environment variable leak enables api_server on unintended profiles,CADVP CC-2 config vs runtime diff,False belief of successful operation; operator unaware of failure,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/52307,Confirmed,C,configuration
CF-0049,base_url ending in /anthropic causes /v1/v1 double path → silent 404,Config override,Hermes Agent,L4,Base URL Double-Path Concatenation,API base URL path concatenation bug produces malformed requests,base_url ending in /anthropic causes /v1/v1 double path → silent 404,API base URL path concatenation bug produces malformed requests,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/41211,Confirmed,C,configuration
CF-0050,"config.yaml vs env precedence: context_length override, thinking-block",Config override,Hermes Agent,L3,Config vs Env Precedence Ambiguity,Config source precedence ambiguity causes silent config loss,"config.yaml vs env precedence: context_length override, thinking-block",Config source precedence ambiguity causes silent config loss,CADVP CC-2 config vs runtime diff,Silent configuration drift; behavior divergence from declared config,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/11096,Confirmed,C,configuration
CF-0051,TUI eagerly persists empty sessions — ghost sessions clutter /resume,Silent message loss,Hermes Agent,L3,TUI Ghost Session Persistence,"TUI saves empty session state to database, creating phantom entries",TUI eagerly persists empty sessions — ghost sessions clutter /resume,"TUI saves empty session state to database, creating phantom entries",CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/18269,Confirmed,C,communication
CF-0052,Kanban dashboard resurrects archived/deleted boards as empty stubs,Silent message loss,Hermes Agent,L5,Kanban Deleted Board Resurrection,Dashboard query returns deleted board stubs without status filter,Kanban dashboard resurrects archived/deleted boards as empty stubs,Dashboard query returns deleted board stubs without status filter,CADVP CC-4 end-to-end content hash,False belief of successful delivery; data loss without notification,Channel verification before trust update,arxiv:2606.04896,https://github.com/NousResearch/hermes-agent/issues/43243,Confirmed,C,communication
